       Residuals Standardized  Studentized
1  -0.0447621509 -1.031108424 -1.032468405
2   0.0361384204  0.789548778  0.783425869
3  -0.0218475732 -0.516118109 -0.508406223
4  -0.0689927860 -1.574801933 -1.625726099
5   0.0026521641  0.058182850  0.057011178
6  -0.0042248116 -0.095431650 -0.093520575
7  -0.0529565651 -1.175148070 -1.184587678
8   0.0020534819  0.051197688  0.050165915
9   0.0298909170  0.673678123  0.666141215
10  0.0340472255  0.743561629  0.736730710
11 -0.0155419497 -0.336796855 -0.330743368
12  0.0154689202  0.346910008  0.340722086
13  0.0505809082  1.134566590  1.141417616
14  0.0139568321  0.334935855  0.328907557
15  0.0105636843  0.235692382  0.231187425
16 -0.0082132733 -0.177593218 -0.174114971
17 -0.1334481901 -3.062278990 -3.795559818
18 -0.0802963680 -1.784158908 -1.871301895
19 -0.0001064937 -0.002331898 -0.002284784
20  0.0149733506  0.329731617  0.323774487
21 -0.0056345835 -0.123901400 -0.121435374
22  0.0677913449  1.503029661  1.544078338
23  0.0324956878  0.732550851  0.725579932
24  0.0260405983  0.563289491  0.555444785
25  0.0238849308  0.525350251  0.517601033
26 -0.0360185631 -0.802021591 -0.796126189
27  0.0560716858  1.245647283  1.260214415
28  0.0554331565  1.252074702  1.267150850
